tweet_text,timestamp,likes,retweets,replies,comment_text,comment_author
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Apr 25, 2022
I hope that even my worst critics remain on Twitter, because that is what free speech means
166K
403K
2.9M",2022-04-25T16:12:30.000Z,2.9M,403K,166K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,It is morning in America again,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,I fully endorse President Trump and hope for his rapid recovery,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,the bird is freed,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Comedy is now legal on Twitter,Unknown
"Elon Musk
@elonmusk
·
Nov 6
The future is gonna be so  
60K
235K
2.7M
157M",2024-11-06T05:01:15.000Z,2.7M,235K,60K,Let that sink in,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,The future is gonna be so,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,Let’s make Twitter maximum fun!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,Yesss!!!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,"Listen, I can’t do miracles ok",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,There are so many regulators that it’s like a sports game with more refs than players on the field!,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,"Top Chart: Regulatory Agency Budget

Bottom Chart: Regulatory Agency Staffing",Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,Next I’m buying Coca-Cola to put the cocaine back in,Unknown
"Elon Musk
@elonmusk
·
Apr 28, 2022
Let’s make Twitter maximum fun!
106K
208K
2.4M",2022-04-28T01:53:50.000Z,2.4M,208K,106K,"I hope that even my worst critics remain on Twitter, because that is what free speech means",Unknown
